optID,time,tradeDate,inventory(k) ,contractType,dayToExpire,iv,strikePrice,delta,gamma,rho,theta,vega,pre_settlePrice,settlePrice_chg,spotPrice,theoryMargin,theoryPrice,settlePrice
10001025,14,2018/5/10,3.393,0,48,22.3,2.651,0.6998,1.9568,0.0023,-8.00E-04,0.0034,0.1332,2.3,2.723,-0.0152,0.121,0.1362
10001025,15,2018/5/11,3.268,0,47,23.4,2.651,0.6912,2.0651,0.0023,-8.00E-04,0.0034,0.1362,-4.6,2.716,-0.0164,0.1136,0.13
10001025,16,2018/5/14,2.981,0,45,20.1,2.651,0.7523,1.8857,0.0024,-8.00E-04,0.003,0.13,8.5,2.745,-0.0086,0.1325,0.1411
10001025,17,2018/5/21,3.637,0,37,19,2.651,0.7669,2.2085,0.002,-8.00E-04,0.0027,0.123,0.6,2.736,-0.0087,0.115,0.1237
10001025,18,2018/5/22,4.065,0,36,18.2,2.651,0.7257,2.4718,0.0018,-8.00E-04,0.0028,0.1237,-13.7,2.717,-0.0069,0.0998,0.1067
10001025,19,2018/5/24,5.686,0,34,17.8,2.651,0.5539,3.1884,0.0013,-9.00E-04,0.0032,0.0775,-16.6,2.655,-0.008,0.0566,0.0646
10001025,20,2018/5/28,7.297,0,30,19.5,2.651,0.595,3.4249,0.0013,-9.00E-04,0.003,0.062,12.9,2.667,-0.0116,0.0584,0.07
10001025,21,2018/5/29,6.801,0,29,18.1,2.651,0.554,3.668,0.0011,-9.00E-04,0.003,0.0703,-14.4,2.655,-0.0108,0.0494,0.0602
10001025,22,2018/5/30,8.991,0,28,22,2.651,0.3415,3.7737,7.00E-04,-7.00E-04,0.0026,0.0602,-25.1,2.601,-0.0234,0.0217,0.0451
10001025,23,2018/5/31,7.302,0,27,19.6,2.651,0.539,4.0194,0.001,-9.00E-04,0.0029,0.0443,35.9,2.651,-0.0168,0.0434,0.0602
10001025,24,2018/6/1,7.597,0,26,19.8,2.651,0.5051,4.2841,9.00E-04,-9.00E-04,0.0028,0.0602,-7.8,2.643,-0.0186,0.0369,0.0555
10001025,25,2018/6/4,6.428,0,26,17.7,2.651,0.6788,3.7286,0.0013,-9.00E-04,0.0026,0.0555,34.1,2.686,-0.0114,0.063,0.0744
10001025,26,2018/6/5,6.067,0,22,17.8,2.651,0.732,3.8283,0.0011,-9.00E-04,0.0022,0.0744,3.1,2.696,-0.011,0.0657,0.0767
10001025,27,2018/6/6,5.766,0,21,18.9,2.651,0.7017,4.3064,0.0011,-9.00E-04,0.0022,0.0767,-6.8,2.686,-0.0149,0.0566,0.0715
10001025,28,2018/6/7,5.478,0,20,17.9,2.651,0.7356,4.0851,0.0011,-9.00E-04,0.0021,0.0715,2.4,2.694,-0.0113,0.0619,0.0732
10001025,29,2018/6/8,7.539,0,19,18.4,2.651,0.5394,5.126,7.00E-04,-0.001,0.0024,0.0732,-34.7,2.652,-0.0136,0.0342,0.0478
10001025,30,2018/6/10,6.975,0,17,19.3,2.651,0.5378,5.4212,6.00E-04,-0.001,0.0023,0.0732,-35.7,2.652,-0.0148,0.0323,0.0471
10001025,31,2018/6/11,7.265,0,16,19.3,2.651,0.5964,5.3427,7.00E-04,-0.001,0.0022,0.0471,9.6,2.663,-0.0137,0.0379,0.0516
10001025,32,2018/6/12,6.399,0,15,19.8,2.651,0.7233,4.6527,8.00E-04,-0.001,0.0018,0.0521,27.8,2.688,-0.0128,0.0538,0.0666
10001025,33,2018/6/13,7.103,0,14,19.5,2.651,0.6491,5.4497,6.00E-04,-0.0011,0.0019,0.0666,-18.6,2.672,-0.0128,0.0414,0.0542
10001025,34,2018/6/14,7.758,0,13,21.1,2.651,0.6658,5.4208,6.00E-04,-0.0011,0.0018,0.0542,6.5,2.675,-0.0149,0.0428,0.0577
10001025,35,2018/6/15,6.807,0,12,21.7,2.651,0.6856,5.4553,6.00E-04,-0.0012,0.0017,0.0577,1.7,2.678,-0.0148,0.0439,0.0587
10001025,36,2018/6/19,9.129,0,8,25.6,2.651,0.2644,5.7554,1.00E-04,-0.0012,0.0013,0.0587,-58.9,2.612,-0.0151,0.009,0.0241
10001025,37,2018/6/20,9.948,0,7,22.2,2.651,0.2364,5.8032,1.00E-04,-0.0012,0.0011,0.0241,-31.5,2.61,-0.0092,0.0073,0.0165
10001025,38,2018/6/21,9.917,0,6,19.4,2.651,0.1332,4.2586,1.00E-04,-9.00E-04,7.00E-04,0.0161,-57.8,2.592,-0.0034,0.0034,0.0068
10001025,39,2018/6/22,8.349,0,5,19.3,2.651,0.1383,4.7435,0,-0.0011,7.00E-04,0.0062,1.6,2.598,-0.0031,0.0032,0.0063
10001025,40,2018/6/25,8.231,0,2,29.3,2.651,4.00E-04,0.0468,0,0,0,0.0063,-87.3,2.548,-8.00E-04,0,8.00E-04
10001025,41,2018/6/26,7.159,0,1,44.9,2.651,0,0,0,0,0,7.00E-04,-57.1,2.52,-3.00E-04,0,3.00E-04
10001026,1,2018/4/16,2.356,0,72,25.7,2.7,0,0,0,0,0,0.1352,-18.7,2.655,-0.1099,0,0.1099
10001026,2,2018/4/17,2.409,0,71,24.4,2.7,0,0,0,0,0,0.1079,-17.2,2.626,-0.0893,0,0.0893
10001026,3,2018/4/18,2.493,0,70,24.7,2.7,0,0,0,0,0,0.0917,6.2,2.643,-0.0974,0,0.0974
10001026,4,2018/4/19,2.468,0,69,23.3,2.7,0.0881,59.1201,4.00E-04,0,0.0019,0.0969,10,2.676,-0.1065,1.00E-04,0.1066
10001026,5,2018/4/20,2.459,0,68,22.6,2.7,0,0,0,0,0,0.1047,-20.2,2.637,-0.0836,0,0.0836
10001026,6,2018/4/24,2.55,0,64,22.5,2.7,0.5809,1.4775,0.0026,-0.001,0.0045,0.0887,38.9,2.722,0.0032,0.1264,0.1232
10001026,7,2018/4/28,2.494,0,60,24.5,2.7,0.4449,1.782,0.0018,-9.00E-04,0.0042,0.0876,-1.1,2.642,-0.0162,0.0704,0.0866
10001026,8,2018/4/29,2.494,0,59,24.7,2.7,0.4437,1.7963,0.0018,-9.00E-04,0.0042,0.0876,-1.1,2.642,-0.0171,0.0695,0.0866
10001026,9,2018/5/3,2.574,0,55,25.4,2.7,0.4525,2.0783,0.0017,-8.00E-04,0.0041,0.0885,2.8,2.654,-0.0285,0.0625,0.091
10001026,10,2018/5/4,2.745,0,54,25.9,2.7,0.41,2.063,0.0015,-8.00E-04,0.0039,0.0895,-7.8,2.634,-0.029,0.0535,0.0825
10001026,11,2018/5/7,2.9,0,51,25.2,2.7,0.4898,2.1803,0.0017,-9.00E-04,0.004,0.0804,18.7,2.674,-0.0276,0.0678,0.0954
10001026,12,2018/5/8,2.616,0,50,23.7,2.7,0.5761,2.1424,0.002,-9.00E-04,0.0039,0.0948,15.4,2.714,-0.0216,0.0878,0.1094
10001026,13,2018/5/9,2.766,0,49,22.9,2.7,0.5699,2.197,0.002,-9.00E-04,0.0039,0.1085,-4.6,2.711,-0.0191,0.0844,0.1035
10001026,14,2018/5/10,2.779,0,48,22.4,2.7,0.5961,2.1791,0.002,-9.00E-04,0.0038,0.1041,3.3,2.723,-0.0169,0.0906,0.1075
10001026,15,2018/5/11,2.878,0,47,21.8,2.7,0.5822,2.2892,0.0019,-9.00E-04,0.0038,0.1057,-5.5,2.716,-0.0163,0.0836,0.0999
10001026,16,2018/5/14,2.975,0,45,19.9,2.7,0.6487,2.2116,0.0021,-9.00E-04,0.0036,0.1011,7.3,2.745,-0.0091,0.0994,0.1085
10001026,17,2018/5/21,5.909,0,37,18.3,2.7,0.6432,2.6927,0.0017,-9.00E-04,0.0032,0.0923,-3.3,2.736,-0.0079,0.0814,0.0893
10001026,18,2018/5/22,7.468,0,36,17.5,2.7,0.5913,2.8813,0.0015,-9.00E-04,0.0033,0.0889,-16.4,2.717,-0.0058,0.0685,0.0743
10001026,19,2018/5/24,11.264,0,34,17.8,2.7,0.3987,3.1135,0.001,-8.00E-04,0.0031,0.0515,-18.1,2.655,-0.008,0.0342,0.0422
10001026,20,2018/5/28,14.055,0,30,18.6,2.7,0.4242,3.4616,9.00E-04,-9.00E-04,0.003,0.038,20,2.667,-0.0113,0.0343,0.0456
10001026,21,2018/5/29,14.197,0,29,18.2,2.7,0.3762,3.5222,8.00E-04,-8.00E-04,0.0028,0.0451,-15.1,2.655,-0.0108,0.0275,0.0383
10001026,22,2018/5/30,17.262,0,28,22.1,2.7,0.1845,2.7402,4.00E-04,-5.00E-04,0.0019,0.0378,-23,2.601,-0.0195,0.0096,0.0291
10001026,23,2018/5/31,13.114,0,27,19.5,2.7,0.347,3.7379,7.00E-04,-8.00E-04,0.0027,0.029,32.1,2.651,-0.0158,0.0225,0.0383
10001026,24,2018/6/1,13.036,0,26,19.3,2.7,0.306,3.7674,6.00E-04,-7.00E-04,0.0025,0.0387,-12.7,2.643,-0.0159,0.0179,0.0338
10001026,25,2018/6/4,10.479,0,26,17,2.7,0.4809,4.1482,9.00E-04,-9.00E-04,0.0029,0.035,30.3,2.686,-0.0103,0.0353,0.0456
10001026,26,2018/6/5,11.066,0,22,18.6,2.7,0.518,4.6317,8.00E-04,-9.00E-04,0.0026,0.0463,8.4,2.696,-0.0146,0.0356,0.0502
10001026,27,2018/6/6,12.574,0,21,18.8,2.7,0.4675,4.9372,7.00E-04,-9.00E-04,0.0026,0.0509,-12.6,2.686,-0.0161,0.0284,0.0445
10001026,28,2018/6/7,9.792,0,20,17.4,2.7,0.5055,4.9808,7.00E-04,-9.00E-04,0.0025,0.0446,-2,2.694,-0.0118,0.0319,0.0437
10001026,29,2018/6/8,11.696,0,19,18.2,2.7,0.2986,4.4801,4.00E-04,-8.00E-04,0.0021,0.0435,-39.8,2.652,-0.0118,0.0144,0.0262
10001026,30,2018/6/10,10.781,0,17,19.3,2.7,0.285,4.6341,3.00E-04,-8.00E-04,0.0019,0.0435,-39.8,2.652,-0.0134,0.0128,0.0262
10001026,31,2018/6/11,11.187,0,16,19.1,2.7,0.334,5.0203,4.00E-04,-9.00E-04,0.002,0.0256,11.7,2.663,-0.0128,0.0158,0.0286
10001026,32,2018/6/12,9.451,0,15,18.9,2.7,0.4635,5.5231,5.00E-04,-0.0011,0.0022,0.0288,30.2,2.688,-0.0124,0.0251,0.0375
10001026,33,2018/6/13,11.641,0,14,19.2,2.7,0.3683,5.5416,4.00E-04,-0.001,0.002,0.0375,-21.3,2.672,-0.0125,0.017,0.0295
10001026,34,2018/6/14,12.389,0,13,20.5,2.7,0.3816,5.678,4.00E-04,-0.0011,0.0019,0.0292,8.6,2.675,-0.0141,0.0176,0.0317
10001026,35,2018/6/15,14.811,0,12,20.7,2.7,0.3934,5.9111,3.00E-04,-0.0012,0.0019,0.0319,-0.9,2.678,-0.0137,0.0179,0.0316
10001026,36,2018/6/19,15.124,0,8,26.6,2.7,0.0706,2.3773,0,-5.00E-04,5.00E-04,0.0322,-62.1,2.612,-0.0104,0.0018,0.0122
10001026,37,2018/6/20,15.074,0,7,22.8,2.7,0.0529,2.0298,0,-4.00E-04,4.00E-04,0.012,-46.7,2.61,-0.0052,0.0012,0.0064
10001026,38,2018/6/21,12.541,0,6,21.6,2.7,0.0201,0.9635,0,-2.00E-04,2.00E-04,0.0062,-61.3,2.592,-0.002,4.00E-04,0.0024
10001026,39,2018/6/22,11.466,0,5,19.5,2.7,0.0174,0.9238,0,-2.00E-04,1.00E-04,0.002,-40,2.598,-9.00E-04,3.00E-04,0.0012
10001026,40,2018/6/25,10.623,0,2,35.2,2.7,0,1.00E-04,0,0,0,0.0014,-78.6,2.548,-3.00E-04,0,3.00E-04
10001026,41,2018/6/26,9.062,0,1,54.7,2.7,0,0,0,0,0,3.00E-04,-33.3,2.52,-2.00E-04,0,2.00E-04
10001027,1,2018/4/16,1.921,0,72,25.6,2.749,0,0,0,0,0,0.1118,-20.2,2.655,-0.0892,0,0.0892
10001027,2,2018/4/17,2.015,0,71,25.1,2.749,0,0,0,0,0,0.0878,-15.6,2.626,-0.0741,0,0.0741
10001027,3,2018/4/18,1.985,0,70,24.9,2.749,0,0,0,0,0,0.0741,6.6,2.643,-0.079,0,0.079
10001027,4,2018/4/19,1.984,0,69,23.4,2.749,0,0,0,0,0,0.079,8.9,2.676,-0.086,0,0.086
10001027,5,2018/4/20,2.245,0,68,23,2.749,0,0,0,0,0,0.086,-22.3,2.637,-0.0668,0,0.0668
10001027,6,2018/4/24,2.105,0,64,22.4,2.749,0.5076,1.5084,0.0022,-0.001,0.0045,0.0713,37.9,2.722,0.0035,0.1018,0.0983
10001027,7,2018/4/28,2.394,0,60,24.7,2.749,0.3621,1.6907,0.0015,-8.00E-04,0.004,0.0694,-1.4,2.642,-0.0161,0.0523,0.0684
10001027,8,2018/4/29,2.394,0,59,24.9,2.749,0.3603,1.7019,0.0015,-8.00E-04,0.004,0.0694,-1.4,2.642,-0.0169,0.0515,0.0684
10001027,9,2018/5/3,2.625,0,55,25.5,2.749,0.3557,1.9548,0.0014,-7.00E-04,0.0038,0.0691,3.6,2.654,-0.0274,0.0442,0.0716
10001027,10,2018/5/4,2.693,0,54,25.9,2.749,0.316,1.8877,0.0012,-7.00E-04,0.0036,0.0716,-9.8,2.634,-0.0275,0.0371,0.0646
10001027,11,2018/5/7,2.677,0,51,25.5,2.749,0.3865,2.0921,0.0014,-8.00E-04,0.0038,0.0635,18.9,2.674,-0.0278,0.0477,0.0755
10001027,12,2018/5/8,2.478,0,50,23.8,2.749,0.47,2.176,0.0017,-9.00E-04,0.004,0.0755,14.2,2.714,-0.0226,0.0636,0.0862
10001027,13,2018/5/9,2.515,0,49,22.7,2.749,0.4615,2.2209,0.0016,-9.00E-04,0.0039,0.0862,-8.1,2.711,-0.0186,0.0606,0.0792
10001027,14,2018/5/10,2.62,0,48,22.2,2.749,0.4871,2.2433,0.0017,-9.00E-04,0.0039,0.0809,1.5,2.723,-0.0167,0.0654,0.0821
10001027,15,2018/5/11,2.967,0,47,21.5,2.749,0.4686,2.3318,0.0016,-9.00E-04,0.0039,0.0821,-8.8,2.716,-0.0157,0.0592,0.0749
10001027,16,2018/5/14,3.053,0,45,19.3,2.749,0.5348,2.3697,0.0017,-9.00E-04,0.0038,0.0749,5.5,2.745,-0.0074,0.0716,0.079
10001027,17,2018/5/21,5.495,0,37,17.8,2.749,0.5047,2.8801,0.0013,-9.00E-04,0.0035,0.064,-5,2.736,-0.0065,0.0543,0.0608
10001027,18,2018/5/22,8.029,0,36,17.4,2.749,0.4476,2.9336,0.0012,-9.00E-04,0.0034,0.0608,-18.6,2.717,-0.0054,0.0441,0.0495
10001027,19,2018/5/24,7.579,0,34,17.7,2.749,0.2605,2.6187,6.00E-04,-7.00E-04,0.0026,0.0337,-24,2.655,-0.0065,0.0191,0.0256
10001027,20,2018/5/28,9.811,0,30,18.4,2.749,0.2693,2.9179,6.00E-04,-7.00E-04,0.0025,0.0245,13.1,2.667,-0.0095,0.0182,0.0277
10001027,21,2018/5/29,9.79,0,29,18.5,2.749,0.2241,2.7763,5.00E-04,-6.00E-04,0.0022,0.0278,-15.5,2.655,-0.0098,0.0137,0.0235
10001027,22,2018/5/30,10.343,0,28,21.9,2.749,0.0839,1.5845,2.00E-04,-3.00E-04,0.0011,0.0235,-25.5,2.601,-0.0138,0.0037,0.0175
10001027,23,2018/5/31,10.912,0,27,19.4,2.749,0.1905,2.7513,4.00E-04,-6.00E-04,0.002,0.0172,32.6,2.651,-0.0126,0.0102,0.0228
10001027,24,2018/6/1,9.439,0,26,19.4,2.749,0.1544,2.5528,3.00E-04,-5.00E-04,0.0017,0.0228,-13.2,2.643,-0.0124,0.0074,0.0198
10001027,25,2018/6/4,7.978,0,26,17.2,2.749,0.2909,3.5687,5.00E-04,-7.00E-04,0.0025,0.0198,35.9,2.686,-0.0097,0.0172,0.0269
10001027,26,2018/6/5,8.498,0,22,18.3,2.749,0.3021,4.0533,5.00E-04,-8.00E-04,0.0023,0.0269,8.2,2.696,-0.0128,0.0163,0.0291
10001027,27,2018/6/6,8.649,0,21,18.8,2.749,0.2478,3.9272,4.00E-04,-7.00E-04,0.002,0.0291,-12,2.686,-0.0139,0.0117,0.0256
10001027,28,2018/6/7,7.899,0,20,17.4,2.749,0.2772,4.1825,4.00E-04,-8.00E-04,0.0021,0.0256,-6.6,2.694,-0.0104,0.0135,0.0239
10001027,29,2018/6/8,8.876,0,19,18.3,2.749,0.1263,2.6768,2.00E-04,-5.00E-04,0.0013,0.0239,-44.4,2.652,-0.0085,0.0048,0.0133
10001027,30,2018/6/10,8.136,0,17,19.3,2.749,0.1114,2.5899,1.00E-04,-4.00E-04,0.0011,0.0239,-45.2,2.652,-0.0092,0.0039,0.0131
10001027,31,2018/6/11,8.529,0,16,19.3,2.749,0.1379,3.0396,2.00E-04,-5.00E-04,0.0012,0.0131,10.7,2.663,-0.0095,0.005,0.0145
10001027,32,2018/6/12,8.711,0,15,18.5,2.749,0.2225,4.1432,2.00E-04,-8.00E-04,0.0016,0.0145,27.6,2.688,-0.0094,0.0091,0.0185
10001027,33,2018/6/13,8.581,0,14,19.2,2.749,0.1485,3.4045,2.00E-04,-6.00E-04,0.0012,0.0185,-23.8,2.672,-0.0089,0.0052,0.0141
10001027,34,2018/6/14,7.882,0,13,20,2.749,0.1544,3.5395,1.00E-04,-7.00E-04,0.0012,0.0141,5.7,2.675,-0.0096,0.0053,0.0149
10001027,35,2018/6/15,8.163,0,12,20.1,2.749,0.1561,3.679,1.00E-04,-7.00E-04,0.0012,0.0149,-2,2.678,-0.0093,0.0053,0.0146
10001027,36,2018/6/19,7.415,0,8,27.1,2.749,0.0108,0.5008,0,-1.00E-04,1.00E-04,0.0146,-63,2.612,-0.0052,2.00E-04,0.0054
10001027,37,2018/6/20,8.066,0,7,24.2,2.749,0.0062,0.3291,0,-1.00E-04,1.00E-04,0.0054,-53.7,2.61,-0.0024,1.00E-04,0.0025
10001027,38,2018/6/21,6.737,0,6,23.4,2.749,0.0015,0.0948,0,0,0,0.0025,-60,2.592,-0.001,0,0.001
10001027,39,2018/6/22,6.466,0,5,23.4,2.749,9.00E-04,0.067,0,0,0,0.001,-40,2.598,-6.00E-04,0,6.00E-04
10001027,40,2018/6/25,6.629,0,2,44.9,2.749,0,0,0,0,0,6.00E-04,-50,2.548,-3.00E-04,0,3.00E-04
10001027,41,2018/6/26,5.712,0,1,66.4,2.749,0,0,0,0,0,3.00E-04,-33.3,2.52,-2.00E-04,0,2.00E-04
10001028,1,2018/4/16,2.417,0,72,25.9,2.798,0,0,0,0,0,0.0912,-20,2.655,-0.073,0,0.073
10001028,2,2018/4/17,2.743,0,71,25.9,2.798,0,0,0,0,0,0.0716,-13.4,2.626,-0.062,0,0.062
10001028,3,2018/4/18,2.763,0,70,25.1,2.798,0,0,0,0,0,0.0606,5,2.643,-0.0636,0,0.0636
10001028,4,2018/4/19,3.445,0,69,23.8,2.798,0,0,0,0,0,0.0636,9,2.676,-0.0693,0,0.0693
10001028,5,2018/4/20,3.065,0,68,23.3,2.798,0,0,0,0,0,0.0693,-24.5,2.637,-0.0523,0,0.0523
10001028,6,2018/4/24,3.117,0,64,22.8,2.798,0.4354,1.4888,0.0019,-9.00E-04,0.0045,0.056,40.7,2.722,0.0019,0.0807,0.0788
10001028,7,2018/4/28,3.496,0,60,24.7,2.798,0.2866,1.5353,0.0012,-7.00E-04,0.0036,0.054,-1.9,2.642,-0.015,0.038,0.053
10001028,8,2018/4/29,3.496,0,59,24.9,2.798,0.2843,1.5423,0.0012,-7.00E-04,0.0036,0.054,-1.9,2.642,-0.0157,0.0373,0.053
10001028,9,2018/5/3,3.643,0,55,25.7,2.798,0.269,1.7315,0.001,-6.00E-04,0.0034,0.0534,5.1,2.654,-0.0259,0.0302,0.0561
10001028,10,2018/5/4,3.744,0,54,26.1,2.798,0.234,1.6268,9.00E-04,-6.00E-04,0.0031,0.0561,-10.7,2.634,-0.0252,0.0249,0.0501
10001028,11,2018/5/7,3.794,0,51,25.6,2.798,0.2923,1.8782,0.001,-7.00E-04,0.0034,0.0501,17.4,2.674,-0.0264,0.0324,0.0588
10001028,12,2018/5/8,3.71,0,50,23.8,2.798,0.3679,2.0614,0.0013,-8.00E-04,0.0038,0.0588,12.1,2.714,-0.0214,0.0445,0.0659
10001028,13,2018/5/9,3.681,0,49,22.8,2.798,0.3577,2.0878,0.0012,-8.00E-04,0.0037,0.0659,-8.8,2.711,-0.0182,0.0419,0.0601
10001028,14,2018/5/10,3.428,0,48,22,2.798,0.3809,2.1438,0.0013,-8.00E-04,0.0038,0.0618,-1.6,2.723,-0.0153,0.0455,0.0608
10001028,15,2018/5/11,3.246,0,47,21.5,2.798,0.3593,2.1921,0.0012,-8.00E-04,0.0036,0.0608,-9.4,2.716,-0.0148,0.0403,0.0551
10001028,16,2018/5/14,3.07,0,45,19.3,2.798,0.4201,2.3309,0.0014,-8.00E-04,0.0038,0.0551,3.1,2.745,-0.0072,0.0496,0.0568
10001028,17,2018/5/21,4.542,0,37,17.7,2.798,0.368,2.7211,0.001,-8.00E-04,0.0033,0.0419,-4.8,2.736,-0.0059,0.034,0.0399
10001028,18,2018/5/22,6.326,0,36,17.4,2.798,0.3129,2.6273,8.00E-04,-8.00E-04,0.003,0.0399,-21.6,2.717,-0.0048,0.0265,0.0313
10001028,19,2018/5/24,7.05,0,34,18,2.798,0.1538,1.9121,4.00E-04,-5.00E-04,0.0019,0.0206,-25.7,2.655,-0.0056,0.0097,0.0153
10001028,20,2018/5/28,7.328,0,30,18.5,2.798,0.1512,2.0711,3.00E-04,-5.00E-04,0.0018,0.0141,14.9,2.667,-0.0075,0.0087,0.0162
10001028,21,2018/5/29,7.032,0,29,19,2.798,0.1163,1.8152,2.00E-04,-4.00E-04,0.0015,0.0163,-14.1,2.655,-0.008,0.006,0.014
10001028,22,2018/5/30,7.477,0,28,22.2,2.798,0.032,0.7385,1.00E-04,-1.00E-04,5.00E-04,0.014,-25,2.601,-0.0093,0.0012,0.0105
10001028,23,2018/5/31,8.056,0,27,19.8,2.798,0.0885,1.6229,2.00E-04,-3.00E-04,0.0012,0.0104,29.8,2.651,-0.0095,0.004,0.0135
10001028,24,2018/6/1,8.104,0,26,20,2.798,0.0644,1.3513,1.00E-04,-2.00E-04,9.00E-04,0.0135,-13.3,2.643,-0.0091,0.0026,0.0117
10001028,25,2018/6/4,8.195,0,26,17.3,2.798,0.1481,2.4064,3.00E-04,-5.00E-04,0.0017,0.0116,25.9,2.686,-0.0074,0.0072,0.0146
10001028,26,2018/6/5,8.078,0,22,18.2,2.798,0.1418,2.6099,2.00E-04,-5.00E-04,0.0015,0.0146,4.8,2.696,-0.0091,0.0062,0.0153
10001028,27,2018/6/6,7.987,0,21,18.7,2.798,0.1019,2.2094,2.00E-04,-4.00E-04,0.0011,0.0153,-13.1,2.686,-0.0094,0.0039,0.0133
10001028,28,2018/6/7,8.206,0,20,17.4,2.798,0.1179,2.4668,2.00E-04,-4.00E-04,0.0012,0.0133,-12,2.694,-0.0071,0.0046,0.0117
10001028,29,2018/6/8,9.429,0,19,18.9,2.798,0.0401,1.1156,1.00E-04,-2.00E-04,5.00E-04,0.0117,-43.6,2.652,-0.0054,0.0012,0.0066
10001028,30,2018/6/10,9.363,0,17,20.1,2.798,0.0315,0.9679,0,-2.00E-04,4.00E-04,0.0117,-42.7,2.652,-0.0058,9.00E-04,0.0067
10001028,31,2018/6/11,10.111,0,16,19.7,2.798,0.041,1.2137,0,-2.00E-04,5.00E-04,0.0067,1.5,2.663,-0.0056,0.0012,0.0068
10001028,32,2018/6/12,10.004,0,15,18.6,2.798,0.0772,2.0122,1.00E-04,-4.00E-04,8.00E-04,0.0068,20.6,2.688,-0.0057,0.0025,0.0082
10001028,33,2018/6/13,9.742,0,14,19,2.798,0.0412,1.2978,0,-2.00E-04,5.00E-04,0.0082,-29.3,2.672,-0.0047,0.0011,0.0058
10001028,34,2018/6/14,9.775,0,13,19.9,2.798,0.0426,1.3496,0,-2.00E-04,5.00E-04,0.0058,8.6,2.675,-0.0051,0.0012,0.0063
10001028,35,2018/6/15,10.003,0,12,20,2.798,0.0411,1.3544,0,-3.00E-04,4.00E-04,0.0063,-6.3,2.678,-0.0048,0.0011,0.0059
10001028,36,2018/6/19,10.722,0,8,28.3,2.798,9.00E-04,0.0558,0,0,0,0.0059,-57.6,2.612,-0.0025,0,0.0025
10001028,37,2018/6/20,9.917,0,7,28.8,2.798,4.00E-04,0.0258,0,0,0,0.0025,-24,2.61,-0.0019,0,0.0019
10001028,38,2018/6/21,9.286,0,6,27.8,2.798,1.00E-04,0.0042,0,0,0,0.0019,-68.4,2.592,-6.00E-04,0,6.00E-04
10001028,39,2018/6/22,9.105,0,5,28.3,2.798,0,0.0019,0,0,0,6.00E-04,-33.3,2.598,-4.00E-04,0,4.00E-04
10001028,40,2018/6/25,9.001,0,2,50.8,2.798,0,0,0,0,0,4.00E-04,-50,2.548,-2.00E-04,0,2.00E-04
10001028,41,2018/6/26,8.768,0,1,78.1,2.798,0,0,0,0,0,2.00E-04,0,2.52,-2.00E-04,0,2.00E-04
10001029,1,2018/4/16,4.918,0,72,25.9,2.847,0,0,0,0,0,0.0748,-21.5,2.655,-0.0587,0,0.0587
10001029,2,2018/4/17,4.467,0,71,25.7,2.847,0,0,0,0,0,0.0584,-17.1,2.626,-0.0484,0,0.0484
